,smilles  ,molecularforma,ROMol
83,CCN(C)C1CN(C2CCN(c3cc(OC)c(Nc4ncc(Br)c(Nc5ccc6c(c5P(C)(C)=O)OCCO6)n4)cc3C)CC2)C1         ,C33H45BrN7O4P,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a15b0>
84,O=C(O)CCCNc1cc2ncnc(Nc3cccc(Br)c3)c2cn1                                                  ,C17H16BrN5O2,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a1700>
85,CCO[C@@H]1CCN(C2CCN(c3cc(OC)c(Nc4ncc(Br)c(Nc5ccc6c(c5P(C)(C)=O)OCCO6)n4)cc3C)CC2)C1      ,C33H44BrN6O5P,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a1770>
86,Cc1nc2cc3c(Nc4cccc(Br)c4)ncnc3cc2[nH]1                                                   ,C16H12BrN5,<rdkit.Chem.rdchem.Mol object at 0x7f0be92a1690>
87,C=CC(=O)Nc1cccc(N2C(=O)N(Cc3ccccc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1               ,C34H36N8O3,<rdkit.Chem.rdchem.Mol object at 0x7f0be92e0040>
88,CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)CCN1CCOCC1                                      ,C23H25ClFN5O3,<rdkit.Chem.rdchem.Mol object at 0x7f0be92e00b0>
89,C[C@@H](Nc1ncnc2[nH]c(-c3ccc(NS(C)(=O)=O)cc3)cc12)c1ccccc1                               ,C21H21N5O2S,<rdkit.Chem.rdchem.Mol object at 0x7f0be92e0200>
90,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OCCCOP(N)(=O)N(CCCl)CCCl                                  ,C22H27BrCl2N5O4P,<rdkit.Chem.rdchem.Mol object at 0x7f0be92e0120>
91,COc1cc(CNCCN(C)C)ccc1-c1cc2c(N[C@H](CO)c3ccccc3)ncnc2[nH]1                               ,C26H32N6O2,<rdkit.Chem.rdchem.Mol object at 0x7f0be92e0350>
92,C=CC(=O)N1C[C@@H]2C[C@H]1CN2C(=O)Oc1cc2c(Nc3ccc(Cl)c(Cl)c3F)ncnc2cc1OC                   ,C24H20Cl2FN5O4,<rdkit.Chem.rdchem.Mol object at 0x7f0be92e1fc0>
93,C=CC(=O)Nc1cccc(N2C(=O)N(c3ccccc3)Cc3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1                ,C33H34N8O3,<rdkit.Chem.rdchem.Mol object at 0x7f0be92e2490>
94,Cc1cc2cc(n1)-c1cnn(C)c1OCCC[C@@H](C)CN1/C(=N/C2=O)Nc2ccc(CN3CCN(C)CC3)cc21               ,C30H38N8O2,<rdkit.Chem.rdchem.Mol object at 0x7f0be92e2420>
95,COc1cc2c(Nc3ccc(Cl)c(Cl)c3F)ncnc2cc1OC[C@@H]1C[C@@H]2CN(C)C[C@@H]2C1                     ,C24H25Cl2FN4O2,<rdkit.Chem.rdchem.Mol object at 0x7f0be92e1f50>
96,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C(F)=C\CN1CCOCC1                                ,C23H22ClF2N5O3,<rdkit.Chem.rdchem.Mol object at 0x7f0be92e2340>
97,C=CC(=O)Nc1cccc(-n2c(=O)n(C(C)C)c(=O)c3cnc(Nc4ccc(N5CCN(C)CC5)cc4OC)nc32)c1              ,C30H34N8O4,<rdkit.Chem.rdchem.Mol object at 0x7f0be92e22d0>
98,CC(C)c1ccc(N2C[C@H](CS(C)(=O)=O)[C@H]2C)c2cnc(Nc3ccnc(N4CC[C@@H](O)[C@@](C)(F)C4)n3)cc12 ,C28H37FN6O3S,<rdkit.Chem.rdchem.Mol object at 0x7f0be92e2260>
99,CC(C)c1cnc(N2C[C@H](O)[C@H]2C)c2cnc(Nc3ccnc(N4CC[C@@H](O)[C@@](C)(F)C4)n3)cc12           ,C25H32FN7O2,<rdkit.Chem.rdchem.Mol object at 0x7f0be92e23b0>
0,C=C=CC(=O)Nc1cc(Nc2nccc(-c3cn(C)c4ccccc34)n2)c(OC)cc1N1CCN(C)CC1                                                                                                                                                                                                                                                                                                                                   ,C29H31N7O2
1,COc1cc2ncnc3c2cc1OCCOCCOCCOc1ccc(Cl)cc1N3                                                                                                                                                                                                                                                                                                                                                          ,C21H22ClN3O5
2,CN1CCN(c2ccc(-c3ccc4c(c3)C(=O)N(C(C(=O)Nc3nccs3)c3cc(F)ccc3O)C4)cc2)CC1                                                                                                                                                                                                                                                                                                                            ,C30H28FN5O3S
3,CC#CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cn1                                                                                                                                                                                                                                                                                                                                                         ,C17H11ClFN5O
4,CCOc1ccccc1-c1cc2c(N[C@H](C)c3ccccc3)ncnc2[nH]1                                                                                                                                                                                                                                                                                                                                                    ,C22H22N4O
5,CN(C)CCNCc1ccc(-c2cc3c(N[C@H](CO)c4ccccc4)ncnc3[nH]2)cc1                                                                                                                                                                                                                                                                                                                                           ,C25H30N6O
